,name,metric_for_best_model,eval/train_disorder,eval/valid_disorder,eval/test_disorder,eval/expert_disorder,_timestamp
0,mix_strict_loose,valid_f1,0.30573527424730357,0.39580725308119785,0.39745752792537264,0.37945322989313424,20250326 18:43:40
3,curriculum_strict_loose,valid_f1,0.2976075353028166,0.3848051668136218,0.3953375644795364,0.3808730430842132,20250327 01:53:05
9,iterate_agg_strict_to_loose_valid_f1,valid_f1,0.016965080552815967,0.4718042414438041,0.5239281473179612,0.31438943445167705,20250405 15:32:50
10,iterate_agg_strict_to_loose_valid_f1,valid_f1,0.18852616292960364,0.34099174899081935,0.3969371602830361,0.4048809470660123,20250405 16:09:17
11,cnc_highlight,valid_f1,0.5460175287178829,0.5525691490845336,0.5235155316532292,0.46527841333188286,20250407 18:38:06
12,strict,valid_f1,0.017957871633493924,0.4791328667854615,0.522602308974829,0.2951858746574343,20250407 19:51:51
15,naive,valid_f1,0.25647633885112825,0.48431651353074673,0.45032668902261463,0.4269468349267237,20250407 20:32:30
18,loose,valid_f1,0.2134384071915525,0.4214139909287715,0.43655076464743553,0.4019404665264866,20250407 21:20:04
21,complex,valid_f1,0.23787213840746388,0.5818564810869316,0.5901422709222477,0.38235054047167744,20250407 22:01:24
24,harsh,valid_f1,0.23637300351918797,0.5630445023717333,0.5797084212551766,0.38500689971924945,20250407 22:27:36
27,iterate_strict-naive,valid_f1,0.008914578750208488,0.4875300957005621,0.5095540353155634,0.2997793808674369,20250407 23:00:19
28,iterate_strict-naive,valid_f1,0.375847821505105,0.3690853363717049,0.4522897875653871,0.3810248562140757,20250407 23:29:36
29,curriculum_strict-naive,valid_f1,0.29945310637224515,0.4424921203642838,0.4967834221940371,0.3386584792644281,20250408 00:22:29
30,iterate_strict-naive,valid_f1,0.03164554329301878,0.4625100525164894,0.5339253027458727,0.3447403161783107,20250408 00:37:51
33,iterate_strict-naive,valid_f1,0.019537791400002984,0.46058203752514504,0.5297874427752898,0.3147177895749865,20250408 01:52:21
36,iterate_strict-loose,valid_f1,0.011229607226551409,0.4656590148611271,0.5002335569445832,0.31773437597347715,20250408 02:59:10
37,iterate_strict-loose,valid_f1,0.21090501816135732,0.3276914330427115,0.425894917266126,0.4154521453519471,20250408 03:34:07
38,curriculum_strict-loose,valid_f1,0.31309798272283096,0.37345586421581994,0.4555843799554327,0.38735164570045033,20250408 04:13:16
39,iterate_strict-loose,valid_f1,0.007714417473824085,0.4369653025444782,0.5240929630537918,0.2903714648375584,20250408 04:29:56
42,iterate_strict-loose,valid_f1,0.025315592679551708,0.4884596623302825,0.510887690333348,0.3323521361432117,20250408 05:40:10
45,iterate_naive-strict,valid_f1,0.27874717845039176,0.47216593554189623,0.4272513080509641,0.3975404773080779,20250408 08:36:38
46,iterate_naive-strict,valid_f1,0.3035497706529506,0.4517107724849027,0.5223549558103172,0.3419481099623991,20250408 08:43:48
