,name,metric_for_best_model,eval/train_disorder,eval/valid_disorder,eval/test_disorder,eval/expert_disorder,eval/train_f1,eval/valid_f1,eval/test_f1,eval/expert_f1,eval/train_auprc,eval/valid_auprc,eval/test_auprc,eval/expert_auprc,eval/train_r_precision,eval/valid_r_precision,eval/test_r_precision,eval/expert_r_precision,_timestamp
0,mix_strict_loose,valid_f1,0.30573527424730357,0.39580725308119785,0.39745752792537264,0.37945322989313424,0.5145683966335857,0.4548513329266099,0.3931469045385569,0.3113529046812353,0.8051783434264733,0.4951374340250057,0.466014164929586,0.4907972785934393,0.5389303522232827,0.8145462503446375,0.7549987855289728,0.5509565791252728,20250326 18:43:40
3,curriculum_strict_loose,valid_f1,0.2976075353028166,0.3848051668136218,0.3953375644795364,0.3808730430842132,0.5002014108847894,0.4622119605507673,0.3838996088378986,0.3235070159696643,0.7550142136171665,0.52282150238102,0.47639033457017793,0.49098251634628,0.5791558928859063,0.8263597985119344,0.7505433609097362,0.5672829465193309,20250327 01:53:05
9,iterate_agg_strict_to_loose_valid_f1,valid_f1,0.016965080552815967,0.4718042414438041,0.5239281473179612,0.31438943445167705,0.4124929751593022,0.4396196458670702,0.3832672281544782,0.3642154875513304,0.9876370248991168,0.6352144438499774,0.5717153141779121,0.6574023784292644,0.4140433438648112,0.6147323252269764,0.5619092994793504,0.5307298521523061,20250405 15:32:50
10,iterate_agg_strict_to_loose_valid_f1,valid_f1,0.18852616292960364,0.34099174899081935,0.3969371602830361,0.4048809470660123,0.7276959784158503,0.48606364156491866,0.40038672269258185,0.3476875105293461,0.6722751776532094,0.501575331035415,0.43259624897308246,0.5037073486925399,0.9497967783310796,0.9011764705882354,0.8792329545454546,0.6386842105263157,20250405 16:09:17
11,cnc_highlight,valid_f1,0.5460175287178829,0.5525691490845336,0.5235155316532292,0.46527841333188286,0.15151690114982247,0.17489680448924796,0.14564317206125493,0.1340227869770754,0.4267019032362062,0.4443769830251284,0.3709777994396634,0.4585581085366948,0.391494834257951,0.4308146052435859,0.474526830033265,0.2735487788654572,20250407 18:38:06
12,strict,valid_f1,0.017957871633493924,0.4791328667854615,0.522602308974829,0.2951858746574343,0.4096509304817839,0.4305249540304235,0.35195969813136935,0.34497552460661746,0.995901016671648,0.6430725337501677,0.5542038674262442,0.649840483980022,0.4098548706075296,0.5781248939070064,0.5050623800606617,0.4888482316995808,20250407 19:51:51
15,naive,valid_f1,0.25647633885112825,0.48431651353074673,0.45032668902261463,0.4269468349267237,0.692207172929963,0.5542294355081452,0.45617181737225976,0.3823820832840481,0.897448684904982,0.7074373437657164,0.63018946299231,0.664185959270688,0.7638176558931,0.7671889789829445,0.7160078624923422,0.5547349649765041,20250407 20:32:30
18,loose,valid_f1,0.2134384071915525,0.4214139909287715,0.43655076464743553,0.4019404665264866,0.8701186584375599,0.5510871228982712,0.46228562665865913,0.3937191218398538,0.9152819864002284,0.646391741181044,0.5667459237986913,0.6045810888769897,0.9073526003637103,0.8982703180563004,0.878726199743752,0.6359704877291084,20250407 21:20:04
21,complex,valid_f1,0.23787213840746388,0.5818564810869316,0.5901422709222477,0.38235054047167744,0.26599892054645496,0.2896589163721659,0.261725537720427,0.23500169450628872,0.7601161135161554,0.5587854128158644,0.5209421891481953,0.6227415717782536,0.3599595604870785,0.3856275668353368,0.33884746302172347,0.3268844782381348,20250407 22:01:24
24,harsh,valid_f1,0.23637300351918797,0.5630445023717333,0.5797084212551766,0.38500689971924945,0.29348197381689417,0.29223386722156236,0.24070729106558,0.2140326765266926,0.7970677060371185,0.5905457482477222,0.5247056075639724,0.6212824637791866,0.3767543466177532,0.3749432526577737,0.2919036994891884,0.2866623670857735,20250407 22:27:36
